"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J3";"PinHeader_2x06_P2.54mm_Vertical";1;"Conn_02x06_Odd_Even";;;
2;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"330k";;;
3;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470k";;;
4;"C7,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100n";;;
5;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_02x01";;;
6;"J2,J1";"din-6-1cm";2;"DIN-6";;;
7;"U2";"CN3302-FP";1;"CN3302_module";;;
8;"C4,C2,C5,C6";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";4;"10u";;;
9;"J4";"NANO_33_BLE";1;"Arduino-NANO-33";;;
10;"TP2";"TestPoint_THTPad_D2.0mm_Drill1.0mm";1;"SWCLK";;;
11;"TP1";"TestPoint_THTPad_D2.0mm_Drill1.0mm";1;"SWDIO";;;
12;"C1";"CP_EIA-7343-30_AVX-N_Pad2.25x2.55mm_HandSolder";1;"100u";;;
13;"H1,H2,H3,H4";"MountingHole_3mm";4;"MountingHole";;;
14;"J5";"PinHeader_2x05_P1.27mm_Vertical_SMD";1;"SWD";;;
15;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
16;"R2,R3";"R_Axial_Power_L20.0mm_W6.4mm_P5.08mm_Vertical";2;"1";;;
17;"U1";"SSOP-24_5.3x8.2mm_P0.65mm";1;"TB6612FNG";;;
18;"U3";"Battery_2x_18650";1;"battery_holder";;;
19;"U4";"TO-92_Inline";1;"MCP1700-1202E_TO92";;;
